"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","score1","score2","score3","score4","score5"
6.5,0.26,0.32,18.68,0.045,-,166,1,3.38,0.46,9.5,6,7,6,6,8
7.9,0.35,0.24,15.60,0.072,44,229,0.99785,3.03,0.59,10.5,3,5,5,5,5
6.2,0.3,0.17,2.80,0.04,24,125,0.9939,3.01,0.46,9,4,3,4,3,6
8.4,0.18,0.42,6.28,0.036,7,77,0.9939,3.16,0.52,11.7,5,2,4,4,4
6.6,0.56,0.22,9.20,0.034,27,133,0.99675,3.2,0.51,9.1,4,4,3,3,3
6.2,0.3,0.17,3.66,0.04,-,125,0.9939,3.01,0.46,9,5,4,5,5,3
6.6,0.56,0.22,10.25,0.034,27,133,0.99675,3.2,0.51,9.1,5,6,5,4,5
6.6,0.36,0.29,8.71,0.021,24,85,0.98965,3.41,0.61,12.4,9,9,9,9,9
7.3,0.655,0.2,12.86,0.071,-,-,0.9971,2.96,0.58,9.2,7,5,6,7,6
6.8,0.18,0.21,5.40,0.053,34,104,0.99445,3.3,0.43,9.4,4,6,3,3,3
6.7,0.19,0.23,9.35,0.047,36,117,0.9945,3.34,0.43,9.6,7,7,7,9,6
8.4,0.18,0.42,5.10,0.036,7,-,0.9939,3.16,0.52,11.7,3,3,5,4,4
7,0.21,0.37,10.00,0.042,36,-,0.9958,3.26,0.56,9.8,7,5,5,7,6
6.8,0.25,0.38,9.84,0.046,24,155,0.9956,3.33,0.59,10.2,6,6,8,6,6
7.4,0.24,0.36,9.37,0.031,27,139,0.99055,3.28,0.48,12.5,9,9,9,9,9
7.1,0.16,0.36,14.10,0.044,20,90,0.9959,3.16,0.44,10.9,8,7,7,9,7
7.1,0.16,0.36,4.47,0.043,21,90,0.9925,3.16,0.42,11,8,8,9,7,6
7.3,0.205,0.31,3.80,0.06,-,-,0.9963,3.72,0.69,10.5,6,7,5,7,8
7.4,0.17,0.4,5.50,0.037,34,161,0.9935,3.05,0.62,11.5,1,1,3,4,2
7.3,0.3,0.34,9.56,0.044,-,108,0.99105,3.36,0.53,12.8,9,9,9,9,9
6.9,0.25,0.34,1.87,0.035,27,82,0.99045,3.18,0.44,12.2,5,5,8,4,6
7.3,0.205,0.31,4.82,0.06,34,110,0.9963,3.72,0.69,10.5,7,8,5,8,5
7.5,0.42,0.34,8.89,0.04,34,108,0.99155,3.14,0.45,12.8,9,9,9,9,9
7.3,0.25,0.36,9.46,0.034,30,177,0.99085,3.25,0.4,11.9,9,9,9,9,9
7.3,0.25,0.36,6.47,0.034,30,177,0.99085,3.25,0.4,11.9,9,9,9,9,9
7.3,0.25,0.36,7.68,0.034,30,-,0.99085,3.25,0.4,11.9,9,9,9,9,9
7.5,0.34,0.35,10.21,0.034,-,126,0.9924,3.16,0.39,12,9,9,7,6,8
7.6,0.33,0.35,10.05,0.036,12,126,0.9924,3.16,0.39,12,8,8,8,7,9
8.7,0.23,0.32,17.27,0.044,35,-,0.99975,3.12,0.47,8.8,8,8,7,8,6
8.7,0.23,0.32,17.69,0.044,35,169,0.99975,3.12,0.47,8.8,9,7,9,9,9
6.9,0.19,0.35,6.55,0.036,33,101,0.99315,3.21,0.54,10.8,9,8,8,9,8
7.3,0.21,0.29,6.09,0.034,-,-,0.9917,3.3,0.5,11,9,9,9,9,9
7.3,0.21,0.29,6.66,0.034,29,118,0.9917,3.3,0.5,11,9,9,9,9,9
6.6,0.22,0.37,15.76,0.035,62,153,0.99845,3.02,0.4,9.3,4,4,5,5,7
9.2,0.34,0.27,2.09,0.026,-,-,0.9921,3.08,0.39,10.8,5,6,5,3,4
8.7,0.23,0.32,16.65,0.044,35,169,0.99975,3.12,0.47,8.8,8,8,8,9,8
6,0.2,0.24,4.49,0.03,30,105,0.9909,3.31,0.47,11.5,7,5,6,7,6
6.9,0.19,0.35,4.87,0.036,33,101,0.99315,3.21,0.54,10.8,8,9,8,7,8
8.2,0.38,0.49,13.60,0.042,58,166,0.99855,3.1,0.54,9.4,3,5,4,5,3
6.9,0.18,0.36,6.79,0.036,40,117,0.9934,3.27,0.95,9.5,9,7,8,8,9
7.7,0.34,0.58,11.10,0.039,41,151,0.9978,3.06,0.49,8.6,3,4,3,4,5
6.9,0.18,0.36,4.45,0.036,-,117,0.9934,3.27,0.95,9.5,8,9,8,9,9
7.4,0.2,0.35,6.58,0.038,-,116,0.9949,3.49,0.77,10.3,9,9,6,7,9
8.2,0.38,0.49,15.22,0.042,-,166,0.99855,3.1,0.54,9.4,6,2,4,4,5
8.2,0.4,0.48,14.57,0.042,59,169,0.9986,3.1,0.52,9.4,5,4,4,5,2
6.7,0.22,0.39,15.55,0.038,-,149,0.99725,3.17,0.54,10,9,8,9,8,8
6.6,0.3,0.3,5.70,0.17,60,166,0.9946,3.18,0.47,9.4,5,4,5,5,4
8.1,0.27,0.35,7.29,0.03,38,103,0.99255,3.22,0.63,10.4,9,9,9,9,9
7.3,0.25,0.42,17.21,0.041,57,182,0.9996,3.29,0.75,9.1,7,9,8,7,8
4.8,0.34,0,6.50,0.028,-,163,0.9939,3.36,0.61,9.9,4,5,7,6,7
6.2,0.28,0.33,2.67,0.029,24,-,0.99,3.24,0.5,12.1,5,7,6,6,8
4.8,0.33,0,6.51,0.028,34,163,0.9937,3.35,0.61,9.9,4,5,5,4,3
6.1,0.27,0.33,3.36,0.021,26,117,0.9886,3.12,0.3,12.5,5,6,5,4,5
6.9,0.18,0.36,4.26,0.036,-,117,0.9934,3.27,0.95,9.5,7,6,9,8,9
7.8,0.18,0.46,17.79,0.042,41,143,1,3.24,0.76,8.5,9,9,9,9,9
7.3,0.28,0.42,17.51,0.04,49,173,0.9994,3.28,0.82,9,8,7,9,8,7
7.3,0.24,0.29,1.88,0.037,-,97,0.9926,3.19,0.7,10.1,5,7,6,5,5
6,0.45,0.65,9.70,0.08,11,159,0.9956,3.04,0.48,9.4,3,3,4,4,5
7.7,0.34,0.58,11.11,0.039,41,151,0.9978,3.06,0.49,8.6,4,5,3,4,4
6.3,0.26,0.21,7.67,0.03,-,125,0.9915,3.06,0.34,10.7,8,7,8,5,6
10.3,0.17,0.47,1.40,0.037,5,33,0.9939,2.89,0.28,9.6,1,1,1,1,1
7.7,0.15,0.29,3.41,0.029,10,64,0.9932,3.35,0.39,10.1,6,5,4,2,5
7.1,0.21,0.32,5.54,0.037,28,141,0.993,3.2,0.57,10,8,9,8,8,9
6.9,0.36,0.34,10.93,0.018,57,119,0.9898,3.28,0.36,12.7,9,9,9,9,9
6,0.28,0.34,4.35,0.119,33,104,0.9921,3.19,0.38,10.2,7,9,6,6,6
6.2,0.16,0.54,2.57,0.126,37,110,0.9932,3.23,0.37,8.9,5,6,4,4,4
6.9,0.12,0.36,6.60,0.037,18,111,0.9919,3.41,0.82,11.9,9,9,9,9,9
7.1,0.21,0.32,6.72,0.037,-,141,0.993,3.2,0.57,10,9,7,9,9,9
8.8,0.36,0.44,3.39,0.04,9,121,0.9953,3.19,0.48,9.9,6,7,8,6,6
7.4,0.26,0.43,8.17,0.022,22,-,0.9928,3.13,0.55,11.5,6,6,8,7,6
7.4,0.26,0.43,9.27,0.022,22,125,0.9928,3.13,0.55,11.5,7,6,6,5,5
6.8,0.23,0.29,14.05,0.035,-,-,0.9976,3.35,0.52,9.8,6,8,5,5,6
6.1,0.34,0.27,6.29,0.024,20,105,0.9906,3.4,0.67,12.2,8,8,7,8,7
7.3,0.26,0.31,1.60,0.04,39,173,0.9918,3.19,0.51,11.4,4,7,6,6,7
6.5,0.3,0.32,6.13,0.044,34,90,0.99185,3.37,0.68,11,9,7,8,9,8
7.3,0.26,0.31,2.53,0.04,-,-,0.9918,3.19,0.51,11.4,5,5,7,5,4
6.5,0.3,0.32,6.62,0.044,34,90,0.99185,3.37,0.68,11,9,8,9,9,9
5,0.31,0,9.10,0.046,-,166,0.994,3.3,0.63,9.9,7,3,8,5,7
5.8,0.26,0.18,3.34,0.031,40,114,0.9908,3.42,0.4,11,7,8,6,8,9
5.9,0.26,0.3,1.34,0.036,-,114,0.9928,3.58,0.48,9.4,4,4,5,3,4
7,0.31,0.29,7.88,0.037,33,128,0.9896,3.12,0.36,12.2,9,7,9,9,9
5.8,0.26,0.18,3.21,0.031,40,114,0.9908,3.42,0.4,11,6,8,7,7,8
5.6,0.19,0.39,3.77,0.043,-,67,0.9918,3.23,0.53,10.3,7,5,6,6,6
6.8,0.18,0.28,10.31,0.047,52,242,0.9952,3.22,0.53,10.5,6,5,7,6,6
7,0.29,0.26,2.05,0.044,12,87,0.9923,3.08,0.46,10.5,5,6,7,6,6
6.6,0.26,0.29,3.71,0.039,-,67,0.9915,3.05,0.49,10.9,7,6,6,6,7
6.8,0.18,0.28,10.29,0.047,52,242,0.9952,3.22,0.53,10.5,6,6,7,4,5
6.6,0.2,0.38,12.49,0.052,30,145,0.9947,3.32,0.56,11,9,8,7,9,9
8,0.29,0.29,14.60,0.046,26,113,0.9983,3.25,0.37,9.7,6,5,5,6,5
6.1,0.28,0.35,13.28,0.048,63,229,0.9975,3.08,0.4,8.9,4,5,5,4,5
5.9,0.31,0.3,9.62,0.047,60,-,0.995,3.2,0.39,9.6,6,5,5,7,6
6.9,0.21,0.28,6.70,0.056,49,159,0.9944,3.02,0.47,8.8,9,9,9,9,9
8.4,0.19,0.42,1.60,0.047,9,-,0.994,3.06,0.65,11.1,2,3,1,1,3
8.3,0.27,0.45,1.30,0.048,8,-,0.9944,3.08,0.61,10.3,2,2,2,2,1
7.1,0.25,0.39,7.20,0.036,30,124,0.9908,3.28,0.43,12.2,9,9,9,9,7
8,0.23,0.37,10.20,0.054,23,159,0.99795,3.32,0.47,9.8,4,1,4,3,2
7.5,0.24,0.31,13.00,0.049,-,217,0.9985,3.08,0.53,8.8,3,4,4,6,3
6.3,0.33,0.2,5.80,0.04,24,144,0.99425,3.15,0.63,9.9,2,4,4,3,3
6.2,0.33,0.19,5.60,0.042,22,143,0.99425,3.15,0.63,9.9,3,5,6,5,3
6.3,0.34,0.19,5.96,0.041,22,145,0.9943,3.15,0.63,9.9,4,4,4,5,3
5.8,0.29,0.05,1.04,0.038,11,30,0.9924,3.36,0.35,9.2,4,4,4,4,4
8,0.32,0.26,1.20,0.05,-,88,0.9946,3.24,0.37,9.5,3,1,2,1,2
5.6,0.29,0.05,1.22,0.038,11,30,0.9924,3.36,0.35,9.2,4,4,2,2,5
7.4,0.13,0.39,7.22,0.042,36,137,0.995,3.36,0.56,10.3,7,7,9,7,8
7.7,0.3,0.32,2.93,0.037,23,124,0.9919,2.93,0.33,11,6,6,6,5,4
7,0.24,0.34,1.40,0.031,-,107,0.99,3.06,0.39,11.9,4,6,6,5,7
8.6,0.18,0.4,5.63,0.04,20,107,0.9923,2.94,0.32,10.2,9,9,7,9,7
7,0.11,0.32,8.18,0.057,59,144,0.9956,3.55,0.44,9.4,8,6,8,8,8
7.7,0.32,0.62,12.36,0.036,56,153,0.9978,3.13,0.44,8.9,6,7,6,7,6
7.7,0.32,0.62,13.93,0.036,56,153,0.9978,3.13,0.44,8.9,8,7,5,4,6
6.5,0.26,0.27,15.37,0.044,69,215,0.9967,3.17,0.43,10,7,6,5,6,7
7.9,0.28,0.41,7.75,0.044,50,152,0.9934,3.45,0.49,10.7,9,9,9,9,9
6.3,0.27,0.23,2.90,0.047,-,100,0.9936,3.28,0.43,9.8,4,3,4,3,4
5.4,0.595,0.1,2.80,0.042,26,80,0.9932,3.36,0.38,9.3,4,4,3,5,5
6.7,0.25,0.33,5.58,0.057,52,173,0.9934,3.02,0.48,9.5,7,7,9,7,7
6.5,0.25,0.35,12.00,0.055,-,-,0.998,3.58,0.47,10,3,3,3,3,4
6.1,0.36,0.58,15.26,0.044,42,115,0.9978,3.15,0.51,9,4,4,3,5,3
7.7,0.17,0.52,11.29,0.017,21,84,0.9929,3.14,0.4,11.9,9,8,6,9,6
6.4,0.26,0.43,14.47,0.033,64,230,0.9974,3.08,0.38,8.9,6,4,4,4,5
6.5,0.26,0.28,13.50,0.046,80,225,0.99685,3.18,0.41,10,5,5,7,5,5
5.9,0.29,0.33,7.40,0.037,58,205,0.99495,3.26,0.41,9.6,3,5,4,5,4
6.2,0.28,0.43,13.00,0.039,-,233,0.99745,3.08,0.38,8.9,3,4,5,6,5
6.1,0.27,0.44,9.54,0.041,61,230,0.99505,3.12,0.4,8.9,7,3,5,5,5
6.4,0.43,0.32,1.40,0.048,10,67,0.992,3.08,0.41,11.4,2,4,4,4,4
6.1,0.36,0.58,15.00,0.044,42,115,0.9978,3.15,0.51,9,4,4,4,4,6
6.2,0.35,0.29,9.89,0.044,56,244,0.9956,3.36,0.55,10,7,6,5,5,5
7.7,0.24,0.29,20.59,0.044,39,194,0.9982,3.06,0.47,9.6,9,7,8,9,7
6.2,0.34,0.28,7.50,0.034,-,197,0.99485,3.14,0.6,9.7,2,4,5,5,4
6.3,0.27,0.46,12.67,0.037,-,212,0.9971,3.25,0.53,9.5,5,5,7,5,7
5.4,0.415,0.19,6.05,0.039,27,88,0.99265,3.54,0.41,10,9,8,7,7,7
6.9,0.48,0.36,7.31,0.03,31,-,0.9904,3.14,0.38,12.2,8,9,9,9,9
6.5,0.18,0.33,12.15,0.051,-,131,0.9965,3.28,0.44,8.7,9,8,9,6,8
6.7,0.15,0.29,9.29,0.058,28,105,0.9946,3.52,0.44,10.2,9,7,7,8,8
8.2,0.345,1,19.07,0.047,55,-,0.99965,2.96,0.43,9.6,5,5,3,4,4
8.5,0.16,0.35,1.60,0.039,24,147,0.9935,2.96,0.36,10,4,5,5,2,4
6.8,0.705,0.25,3.20,0.048,10,57,0.996,3.36,0.52,9.5,1,2,2,3,2
7.3,0.25,0.39,6.40,0.034,8,84,0.9942,3.18,0.46,11.5,3,5,4,3,4
7.6,0.345,0.26,2.90,0.043,15,134,0.9936,3.08,0.38,9.5,5,3,3,5,2
7.6,0.22,0.34,12.73,0.035,26,143,0.9965,3.08,0.49,9.8,7,4,2,6,8
6.5,0.17,0.33,3.18,0.028,-,99,0.9928,3.23,0.55,10.1,6,5,6,7,7
8.2,0.23,0.37,1.30,0.042,-,117,0.9928,2.99,0.36,10,3,4,4,2,4
7.6,0.22,0.34,12.14,0.035,-,143,0.9965,3.08,0.49,9.8,7,4,6,6,5
7.6,0.345,0.26,4.47,0.043,15,134,0.9936,3.08,0.38,9.5,7,5,3,3,3
7.5,0.32,0.26,2.22,0.042,13,133,0.9938,3.07,0.38,9.5,4,5,3,3,3
6.6,0.23,0.32,5.21,0.041,-,79,0.9926,3.39,0.54,10.2,9,9,8,7,8
6.6,0.2,0.32,5.14,0.039,25,78,0.9926,3.39,0.54,10.2,8,8,8,7,8
7.3,0.24,0.34,18.43,0.05,38,174,0.9983,3.03,0.42,9,7,6,7,6,6
7.3,0.24,0.34,16.06,0.05,38,174,0.9983,3.03,0.42,9,5,7,5,5,7
8,0.42,0.36,7.28,0.037,34,101,0.992,3.13,0.57,12.3,7,8,6,9,8
7.3,0.24,0.34,16.46,0.05,38,174,0.9983,3.03,0.42,9,5,6,8,6,7
6.1,0.19,0.25,5.28,0.023,23,112,0.9923,3.37,0.51,11.6,5,8,7,7,6
5.9,0.26,0.21,14.62,0.034,36,152,0.9972,3.28,0.43,9.5,6,7,5,6,7
8.3,0.23,0.43,4.08,0.035,-,101,0.9928,3.15,0.36,11.5,5,1,4,3,5
6.5,0.34,0.28,3.95,0.041,-,188,0.9928,3.13,0.37,9.6,6,6,7,8,6
6.8,0.22,0.35,19.23,0.039,38,153,0.9994,3.24,0.42,9,6,6,6,5,5
6.5,0.08,0.33,8.19,0.028,23,93,0.991,3.34,0.7,12,9,9,9,9,8
5.5,0.42,0.09,5.24,0.019,18,68,0.9906,3.33,0.51,11.4,8,8,8,9,6
5.1,0.42,0.01,5.41,0.017,-,102,0.9894,3.38,0.36,12.3,8,7,8,8,7
6,0.27,0.19,5.57,0.02,24,110,0.9898,3.32,0.47,12.6,8,8,9,9,9
6.8,0.22,0.35,20.84,0.039,38,-,0.9994,3.24,0.42,9,8,5,6,8,5
6.5,0.08,0.33,4.85,0.028,23,93,0.991,3.34,0.7,12,7,8,8,8,9
7.1,0.13,0.38,2.92,0.046,14,114,0.9925,3.32,0.9,11.7,5,7,5,7,5
7.6,0.3,0.25,4.30,0.054,22,111,0.9956,3.12,0.49,9.2,4,6,2,3,4
6.6,0.13,0.3,7.00,0.058,-,131,0.9946,3.51,0.45,10.3,6,7,6,6,6
6.5,0.14,0.33,7.60,0.05,53,189,0.9966,3.25,0.49,8.6,4,5,5,4,4
7.7,0.28,0.33,11.94,0.037,32,155,0.9951,3.39,0.62,10.7,9,8,7,7,8
6,0.2,0.71,1.60,0.15,10,54,0.9927,3.12,0.47,9.8,4,4,4,4,4
6,0.19,0.71,3.62,0.152,9,55,0.9927,3.12,0.46,9.8,6,5,6,6,4
7.7,0.28,0.33,9.97,0.037,-,155,0.9951,3.39,0.62,10.7,8,8,7,6,9
5.1,0.39,0.21,3.00,0.027,15,72,0.9894,3.5,0.45,12.5,5,6,4,5,6
5.7,0.36,0.34,6.56,0.026,21,77,0.9907,3.41,0.45,11.9,7,4,5,8,5
6.9,0.19,0.33,1.60,0.043,63,149,0.9925,3.44,0.52,10.8,4,3,3,5,3
6,0.41,0.21,3.71,0.05,-,-,0.9928,3.42,0.52,10.5,6,6,7,7,7
7.4,0.28,0.3,6.18,0.054,44,-,0.9941,3.12,0.48,10.3,5,4,6,6,7
7.4,0.3,0.3,7.44,0.053,45,163,0.9941,3.12,0.45,10.3,6,7,8,6,5
6.9,0.19,0.33,1.60,0.043,-,149,0.9925,3.44,0.52,10.8,4,3,5,5,3
7.7,0.28,0.39,13.34,0.036,8,117,0.9935,3.06,0.38,12,9,6,7,8,9
8.6,0.16,0.38,5.36,0.04,41,143,0.9932,2.95,0.39,10.2,6,5,6,6,7
8.2,0.26,0.44,1.30,0.046,7,69,0.9944,3.14,0.62,10.2,2,3,1,1,2
6.5,0.25,0.27,15.58,0.049,75,217,0.9972,3.19,0.39,9.9,4,5,4,5,3
7,0.24,0.18,1.30,0.046,9,62,0.994,3.38,0.47,10.1,3,2,1,3,2
8.6,0.18,0.36,3.86,0.04,24,187,0.9956,3.25,0.55,9.5,6,6,6,5,5
7.8,0.27,0.34,3.47,0.046,-,154,0.9927,3.05,0.45,10.5,6,5,6,7,6
6,0.26,0.34,2.63,0.046,6,29,0.9924,3.29,0.63,10.4,5,3,3,6,4
6.1,0.24,0.27,11.74,0.062,33,152,0.9966,3.31,0.47,9.5,6,7,8,6,5
8,0.24,0.3,19.58,0.056,43,184,0.9997,3.05,0.5,9.2,6,6,7,6,7
7.6,0.21,0.6,7.05,0.046,47,165,0.9936,3.05,0.54,10.1,9,8,9,8,9
8,0.19,0.36,5.15,0.05,16,84,0.9936,3.15,0.45,9.8,8,8,8,9,8
6.4,0.28,0.41,7.30,0.045,61,216,0.9952,3.09,0.46,9.4,4,4,4,3,4
6.4,0.28,0.43,9.70,0.045,60,221,0.9952,3.09,0.45,9.4,7,5,5,5,5
6.9,0.24,0.39,4.16,0.063,18,136,0.9928,3.31,0.48,10.4,7,9,7,9,8
5.8,0.36,0.26,4.77,0.038,-,153,0.9911,3.34,0.55,11.3,6,5,6,5,6
6.6,0.18,0.28,5.21,0.044,18,91,0.993,3.42,0.64,10.8,6,7,5,6,6
5.8,0.36,0.26,5.36,0.038,-,153,0.9911,3.34,0.55,11.3,6,7,6,5,5
5.1,0.52,0.06,2.70,0.052,-,79,0.9932,3.32,0.43,9.3,3,5,4,1,4
6.6,0.22,0.37,4.99,0.059,-,199,0.993,3.37,0.55,10.3,8,9,7,7,8
8.3,0.15,0.39,3.83,0.055,32,146,0.993,3.08,0.39,10.5,7,6,7,6,6
7.6,0.16,0.44,2.59,0.043,25,109,0.9932,3.11,0.75,10.3,5,7,5,6,6
7.7,0.16,0.41,6.04,0.048,60,173,0.9932,3.24,0.66,11.2,9,8,6,8,9
8.3,0.16,0.48,4.25,0.057,31,98,0.9943,3.15,0.41,10.3,7,6,5,5,6
6.2,0.25,0.47,12.08,0.048,62,210,0.9968,3.19,0.5,9.5,4,5,5,5,5
6.1,0.16,0.27,12.60,0.064,63,162,0.9994,3.66,0.43,8.9,4,5,5,4,4
7.6,0.39,0.22,2.80,0.036,19,113,0.9926,3.03,0.29,10.2,4,4,4,4,4
6.8,0.37,0.47,11.29,0.071,44,136,0.9968,2.98,0.88,9.2,4,5,4,5,4
7.6,0.16,0.44,3.43,0.043,25,109,0.9932,3.11,0.75,10.3,6,5,6,5,6
7.1,0.18,0.42,3.08,0.045,47,157,0.9916,2.95,0.31,10.5,6,6,5,7,6
8.3,0.14,0.26,3.16,0.049,-,189,0.9946,3.21,0.62,9.5,6,5,6,7,3
8.6,0.2,0.42,4.44,0.041,35,125,0.9925,3.11,0.49,11.4,7,9,9,8,9
8.6,0.2,0.42,4.49,0.041,35,125,0.9925,3.11,0.49,11.4,7,8,8,8,9
6.8,0.19,0.32,14.43,0.019,54,188,0.9935,3.25,0.37,11.1,9,9,9,9,9
7.6,0.19,0.38,13.23,0.06,48,174,0.9962,3.13,0.38,10.5,7,5,6,6,6
6.8,0.34,0.74,5.10,0.088,23,185,0.9928,3.51,0.7,12,7,5,6,6,5
6.2,0.15,0.46,3.44,0.039,38,123,0.993,3.38,0.51,9.7,6,5,6,5,4
6.6,0.14,0.44,2.21,0.042,47,140,0.993,3.32,0.51,10.2,5,7,6,7,7
8,0.55,0.17,8.20,0.04,13,60,0.9956,3.09,0.3,9.5,1,2,2,3,2
7,0.24,0.35,4.73,0.052,-,128,0.9941,3.41,0.59,10.4,8,9,9,8,8
6.3,0.6,0.44,11.00,0.05,-,245,0.9972,3.19,0.57,9.3,1,3,2,2,1
7.1,0.2,0.41,4.02,0.054,24,166,0.9948,3.48,0.62,10.5,6,7,5,7,7
6.2,0.34,0.29,8.97,0.047,45,232,0.9955,3.35,0.62,10,6,7,6,6,8
7.1,0.3,0.36,8.30,0.055,-,-,0.9972,3.49,0.64,10.2,6,6,4,7,7
7.1,0.3,0.36,7.70,0.055,44.5,234,0.9972,3.49,0.64,10.2,5,5,6,6,6
7.9,0.64,0.46,10.60,0.244,33,227,0.9983,2.87,0.74,9.1,1,1,1,1,1
8.8,0.17,0.38,6.21,0.04,-,-,0.9942,3.16,0.67,10.2,9,5,7,8,7
7.5,0.17,0.37,1.50,0.06,-,75,0.9936,3.54,0.88,10.7,3,5,2,3,3
7.1,0.47,0.24,7.77,0.044,11,77,0.9956,3.21,0.56,9.7,6,6,3,4,4
7.1,0.15,0.34,8.71,0.034,33,104,0.9953,3.37,0.52,9.3,8,8,6,7,6
7.5,0.17,0.34,1.83,0.035,-,-,0.9918,3.05,0.74,11,4,4,4,4,3
8.2,0.68,0.3,2.10,0.047,-,138,0.995,3.22,0.71,10.8,3,2,1,1,1
7.7,0.275,0.3,1.00,0.039,19,75,0.992,3.01,0.56,10.7,3,6,4,4,2
7.3,0.49,0.32,5.20,0.043,18,104,0.9952,3.24,0.45,10.7,2,1,1,3,1
7.5,0.33,0.48,20.25,0.048,55,243,1.001,2.95,0.4,8.8,5,6,4,7,4
7.2,0.21,0.37,3.27,0.049,-,94,0.9924,3.16,0.48,10.9,6,9,8,8,7
7.3,0.15,0.4,2.00,0.05,24,92,0.9932,3.14,0.45,10.5,3,4,4,4,4
6.5,0.19,0.1,1.30,0.046,23,107,0.9937,3.29,0.45,10,3,5,5,1,4
7,0.31,0.52,1.70,0.029,5,-,0.9918,3.07,0.43,10.4,3,5,3,6,5
8.3,0.4,0.38,1.28,0.038,15,75,0.9934,3.03,0.43,9.2,4,6,5,4,4
6.1,0.37,0.36,7.30,0.035,36,116,0.991,3.31,0.62,12.6,7,6,7,6,6
7.3,0.24,0.34,8.68,0.048,-,152,0.9962,3.1,0.54,9,5,4,3,3,4
6.9,0.21,0.81,3.18,0.137,52,123,0.9932,3.03,0.39,9.2,6,7,7,5,6
7.6,0.29,0.42,1.30,0.035,18,-,0.9908,2.99,0.39,11.3,4,6,2,4,5
9.4,0.29,0.55,2.20,0.05,17,119,0.9962,3.12,0.69,10.3,1,1,2,2,2
7,0.31,0.52,2.84,0.029,5,-,0.9918,3.07,0.43,10.4,5,5,4,2,3
8.6,0.26,0.41,2.20,0.049,29,-,0.9941,2.96,0.44,10,4,3,5,5,4
7.5,0.21,0.34,2.93,0.06,-,111,0.9931,3.51,0.47,10.7,6,7,6,7,7
7.2,0.51,0.24,11.06,0.093,35,197,0.9981,3.41,0.47,9,5,5,5,7,3
7.5,0.21,0.34,3.80,0.06,26,-,0.9931,3.51,0.47,10.7,7,7,7,6,6
5.3,0.3,0.2,1.10,0.077,-,166,0.9944,3.3,0.54,8.7,1,3,1,1,2
8,0.26,0.36,7.08,0.054,30,121,0.992,3.09,0.72,11.6,9,8,7,9,8
7,0.21,0.28,7.50,0.07,45,-,0.9966,3.34,0.55,9.4,3,3,1,4,3
6.7,0.26,0.26,4.00,0.079,35.5,216,0.9956,3.31,0.68,9.5,4,3,5,4,6
6.7,0.26,0.26,4.10,0.073,36,202,0.9956,3.3,0.67,9.5,4,3,3,4,2
8.1,0.26,0.37,3.80,0.072,48,159,0.9949,3.37,0.7,10.9,6,6,7,6,5
8.3,0.22,0.38,15.49,0.054,32,126,1.0002,3.22,0.5,9.7,5,4,4,5,5
6.4,0.3,0.51,9.02,0.048,62,172,0.9942,3.08,0.45,9.1,8,6,7,5,5
7.5,0.19,0.34,6.16,0.037,33,125,0.9923,3.1,0.49,11.1,8,9,7,9,9
8.8,0.33,0.44,9.14,0.024,9,87,0.9917,2.96,0.4,12.6,7,8,8,7,7
6.9,0.2,0.36,2.96,0.031,38,147,0.9931,3.35,0.56,11,6,6,6,7,4
8,0.37,0.32,5.11,0.04,32,166,0.992,3,0.55,11.3,8,9,9,8,9
8.3,0.22,0.38,14.80,0.054,32,126,1.0002,3.22,0.5,9.7,3,3,3,4,4
8.2,0.29,0.33,13.42,0.036,-,-,0.9953,2.96,0.4,10.9,9,8,6,7,9
7.7,0.34,0.3,8.00,0.048,25,192,0.9951,2.97,0.47,10.9,3,5,4,5,2
6.2,0.55,0.45,12.29,0.049,27,186,0.9974,3.17,0.5,9.3,4,6,5,7,5
6.4,0.4,0.19,7.07,0.033,28,124,0.9904,3.22,0.54,12.7,8,9,8,8,8
7.5,0.28,0.33,11.73,0.048,42,180,0.9974,3.37,0.59,10.1,8,7,6,7,6
7.8,0.26,0.44,1.30,0.037,43,132,0.9944,3.18,0.65,10,4,4,2,3,4
6.5,0.26,0.34,16.30,0.051,56,197,1.0004,3.49,0.42,9.8,3,4,4,1,5
6.3,0.34,0.29,8.76,0.046,29,227,0.9952,3.29,0.53,10.1,7,7,6,6,6
6.8,0.15,0.33,8.87,0.059,31,118,0.9956,3.43,0.39,9,9,9,8,8,9
6.3,0.27,0.25,6.23,0.038,52,-,0.995,3.28,0.38,9.4,5,7,6,5,6
6.3,0.27,0.25,6.33,0.038,52,155,0.995,3.28,0.38,9.4,5,7,7,5,7
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,4,7,6,6,6
6.3,0.23,0.21,7.27,0.035,29,-,0.9942,3.36,0.33,10.1,7,7,8,7,8
7.3,0.31,0.69,10.20,0.041,-,160,0.9977,3.06,0.45,8.6,1,5,2,5,5
5.2,0.24,0.45,8.87,0.027,21,128,0.992,3.55,0.49,11.2,9,9,9,9,9
7,0.24,0.32,5.80,0.037,-,123,0.992,3.17,0.42,11.2,9,9,9,9,9
7.4,0.2,0.37,18.79,0.048,43,190,0.9995,3.03,0.42,9.2,6,6,5,5,7
